Settlers/Bustling-Village	Settlers/Bustling Village
Encampment/Plunder	Encampment/Plunder
Jack-of-all-Trades	Lebenskünstler
Patrician/Emporium	Patrician/Emporium
Philosophers-Stone	Stein der Weisen
Wandering-Minstrel	Barde
Candlestick-Maker	Leuchtenmacher
Coin-of-the-Realm	Königliche Münzen
Gladiator/Fortune	Gladiator/Fortune
Ill-Gotten-Gains	Blutzoll
Royal-Blacksmith	Royal Blacksmith
Band-of-Misfits	Vogelfreie
Farming-Village	Bauerndorf
Fishing-Village	Fischerdorf
Hunting-Grounds	Jagdgründe
Travelling-Fair	Wanderzirkus 
Workers-Village	Arbeiterdorf
Border-Village	Grenzdorf
Catapult/Rocks	Catapult/Rocks
Counting-House	Leihhaus
Defiled-Shrine	Defiled Shrine
Farmers-Market	Farmers' Market
Fortune-Teller	Wahrsagerin
Horn-of-Plenty	Füllhorn
Merchant-Guild	Kaufmannsgilde
Mining-Village	Bergwerk
Native-Village	Eingeborenendorf
Royal-Carriage	Königliche Kutsche 
Salt-the-Earth	Salt the Earth
Scouting-Party	Spähtrupp 
Secret-Chamber	Geheimkammer
Spice-Merchant	Gewürzhändler
Treasure-Trove	Schatz 
Triumphal-Arch	Triumphal Arch
Walled-Village	Carcasonne
Caravan-Guard	Karawanenwächter 
Distant-Lands	Ferne Lande 
Groundskeeper	Groundskeeper
Haunted-Woods	Geisterwald 
Horse-Traders	Pferdehändler
Hunting-Party	Treibjagd
Market-Square	Marktplatz
Merchant-Ship	Handelsschiff
Mountain-Pass	Mountain Pass
Noble-Brigand	Edler Räuber
Wine-Merchant	Weinhändler 
Black-Market	Schwarzmarkt
Black-Market	Schwarzmarkt
Bridge-Troll	Brückentroll 
Cartographer	Kartograph
Chariot-Race	Chariot Race
City-Quarter	City Quarter
Council-Room	Ratsversammlung
Grand-Market	Großer Markt
Scrying-Pool	Vision
Trading-Post	Handelsposten
Transmogrify	Transformation 
Treasure-Map	Schatzkarte
Wishing-Well	Wunschbrunnen
Bandit-Camp	Banditenlager
Bandit-Fort	Bandit Fort
Battlefield	Battlefield
Conspirator	Verschwörer
Coppersmith	Kupferschmied
Counterfeit	Falschgeld
Enchantress	Enchantress
Fairgrounds	Festplatz
Graverobber	Grabräuber
Hinterlands	Hinterland
Inheritance	Erbschaft 
Junk-Dealer	Schrotthändler
Kings-Court	Königshof
Masterpiece	Meisterstück
Moneylender	Geldverleiher
Pathfinding	Wegsuche 
Pearl-Diver	Perlentaucher
Pirate-Ship	Piratenschiff
Shanty-Town	Armenviertel
Storyteller	Geschichtenerzähler 
Throne-Room	Thronsaal
Trade-Route	Handelsroute
Young-Witch	Junge Hexe
Adventurer	Abenteurer
Adventures	Abenteuer
Ambassador	Botschafter
Apothecary	Apotheker
Apprentice	Lehrling
Bureaucrat	Bürokrat
Chancellor	Kanzler
Contraband	Schmuggelware
Cornucopia	Reiche Ernte
Crossroads	Wegkreuzung
Death-Cart	Leichenkarren
Expedition	Expedition
Fools-Gold	Katzengold
Ghost-Ship	Geisterschiff
Great-Hall	Große Halle
Ironmonger	Eisenhändler
Journeyman	Wandergeselle
Laboratory	Laboratorium
Lighthouse	Leuchtturm
Masquerade	Maskerade
Mountebank	Quacksalber
Nomad-Camp	Nomadencamp
Pilgrimage	Pilgerfahrt 
Poor-House	Armenhaus
Possession	Besessenheit
Procession	Prozession
Prosperity	Blütezeit
Ratcatcher	Rattenfänger 
Royal-Seal	Königliches Siegel
Soothsayer	Wahrsager
Stonemason	Steinmetz
Tournament	Turnier
University	Universität
Watchtower	Wachturm
Woodcutter	Holzfäller
Alchemist	Alchemist
Artificer	Kunsthandwerker 
Catacombs	Katakomben
Colonnade	Colonnade
Courtyard	Burghof
Duplicate	Duplikat 
Herbalist	Kräuterkundiger
Ironworks	Eisenhütte
Labyrinth	Labyrinth
Legionary	Legionary
Lost-Arts	Verlorene Kunst 
Lost-City	Verlorene Stadt 
Menagerie	Menagerie
Messenger	Kurier 
Navigator	Navigator
Sacrifice	Sacrifice
Scavenger	Lumpensammler
Silk-Road	Seidenstraße
Smugglers	Schmuggler
Storeroom	Lagerraum
Swamp-Hag	Sumpfhexe 
Tactician	Taktiker
Transmute	Verwandlung
Warehouse	Lagerhaus
Wild-Hunt	Wild Hunt
Aqueduct	Aqueduct
Basilica	Basilica
Conquest	Conquest
Cutpurse	Beutelschneider
DarkAges	Dark Ages
Dominate	Dominate
Engineer	Engineer
Explorer	Entdecker
Familiar	Vertrauter
Farmland	Fruchtbares Land
Festival	Jahrmarkt
Fortress	Festung
Fountain	Fountain
Governor	Gouverneur
Governor	Gouverneur
Hireling	Gefolgsmann 
Intrigue	Die Intrige
Mandarin	Mandarin
Marauder	Marodeur
Margrave	Markgraf
Monument	Denkmal
Overlord	Overlord
Saboteur	Saboteur
Salvager	Müllverwerter
Swindler	Trickser
Talisman	Talisman
Torturer	Kerkermeister
Training	Training
Treasury	Schatzkammer
Vineyard	Weinberg
Windfall	Windfall
Wolf-Den	Wolf Den
Workshop	Werkstatt
Advance	Advance
Advisor	Berater
Alchemy	Alchemisten
Archive	Archive
Banquet	Banquet
Bonfire	Freudenfeuer 
Butcher	Metzger
Capital	Capital
Caravan	Karawane
Castles	Castles
Cultist	Kultist
Develop	Aufbau
Duchess	Herzogin
Dungeon	Verlies 
Embargo	Embargo
Embassy	Botschaft
Empires	Empire
Forager	Mundraub
Gardens	Gärten
Haggler	Feilscher
Harvest	Ernte
Highway	Fernstraße
Knights	Ritter
Library	Bibliothek
Lookout	Ausguck
Militia	Miliz
Mission	Mission
Obelisk	Obelisk
Orchard	Orchard
Outpost	Aussenposten
Peasant	Kleinbauer
Peddler	Hausierer
Pillage	Raubzug
Rebuild	Neubau
Remodel	Umbau
Sea-Hag	Seehexe
Seaside	Seaside
Stables	Stallungen
Steward	Verwalter
Tribute	Tribut
Triumph	Triumph
Upgrade	Anbau
Vagrant	Landstreicher
Venture	Abenteuer
Village	Dorf
Wedding	Wedding
Amulet	Amulett 
Armory	Waffenkammer
Bazaar	Bazar
Beggar	Bettler
Bishop	Bischof
Borrow	Leihgabe 
Bridge	Brücke
Cellar	Keller
Chapel	Kapelle
Doctor	Arzt
Donate	Donate
Expand	Ausbau
Feodum	Lehen
Guilds	Die Gilden
Hamlet	Weiler
Herald	Herold
Hermit	Eremit
Island	Insel
Jester	Harlekin
Magpie	Elster 
Market	Markt
Minion	Lakai
Museum	Museum
Mystic	Medium
Nobles	Adlige
Oracle	Orakel
Palace	Palace
Prince	Prinz
Prince	Prinz
Quarry	Steinbruch
Rabble	Gesindel
Ranger	Wildhüter 
Remake	Nachbau
Ritual	Ritual
Scheme	Komplott
Seaway	Seeweg 
Smithy	Schmiede
Squire	Knappe
Summon	Einladung
Summon	Einladung
Taxman	Steuereintreiber
Temple	Temple
Trader	Fahrender Händler
Tunnel	Tunnel
Urchin	Gassenjunge
Altar	Altar
Annex	Annex
Arena	Arena
Baker	Bäcker
Baron	Baron
Baths	Baths
Cache	Schatztruhe
Charm	Charm
Count	Graf
Crown	Crown
Delve	Delve
Envoy	Gesandter
Envoy	Gesandter
Feast	Festmahl
Ferry	Überfahrt 
Forge	Kunstschmiede
Forum	Forum
Giant	Riese 
Golem	Golem
Goons	Halsabschneider
Guide	Kundschafter 
Harem	Harem
Haven	Hafen
Hoard	Hort
Miser	Geizhals 
Oasis	Oase
Plaza	Platz
Quest	Quest
Relic	Relikt 
Rogue	Schurke
Scout	Späher
Stash	Geldversteck
Stash	Geldversteck
Thief	Dieb
Tower	Tower
Trade	Handel 
Vault	Gewölbe
Villa	Villa
Wharf	Werft
Witch	Hexe
Alms	Almosen 
Ball	Ball
Bank	Bank
Base	Basisspiel
City	Stadt
Duke	Herzog
Gear	Ausrüstung 
Keep	Keep
Loan	Lohn
Mine	Mine
Mint	Münzer
Moat	Burggraben
Page	Page
Pawn	Handlanger
Plan	Planung 
Port	Hafenstadt 
Raid	Überfall 
Rats	Ratten
Raze	Zerstörung 
Sage	Weiser
Save	Zuflucht 
Tomb	Tomb
Wall	Wall
Inn	Gasthaus
Spy	Spion
Tax	Tax
